chapter,kana,meaning
17,あさごはん,breakfast
17,ひるごはん,lunch
17,ばんごはん,dinner
17,すき,like
17,きらい,dislike
17,だいすき,love (big like)
17,だいきらい,hate (big dislike)
17,いちばん,number one
17,が,subject marker
17,ぎゅうにゅう,milk
17,さかな,fish
17,しょくじ,meal
17,ごはん,rice, food
17,すし,sushi
17,さしみ,unadorned raw fish
17,わさび,Japanese horseradish
17,あさ,morning
17,いも,potato
18,これ,this
18,それ,that
18,あれ,that one over there
18,どれ,which one?
18,この,this x
18,その,that x
18,あの,that x over there
18,どの,which x?
18,ここ,here
18,そこ,there
18,あそこ,over there
18,どこ,where?
18,こんな,this kind of x
18,そんな,that kind of x
18,あんな,that (over there) kind of x
18,どんな,which kind of x?
18,こちら,this way
18,そちら,that way
18,あちら,that way over there
18,どちら,which way?
19,せいと,student
19,つくえ,desk
19,ごみばこ,trash can
19,がっこう,school
19,こうとうがっこう,high school
19,こうこう,high school (abbreviated form)
19,だいがく,college
19,～ねんせい,a suffix that attaches to a number to mean a student of that year
19,～せい,a suffix that attaches to a type of learning institution to mean a student who attends there
19,れきし,history
19,ちり,geography
19,しゃかい,social studies
19,りか,science
19,かがく,science
19,たいいく,physical education
19,かもく,school subject
19,ドイツ,Germany
19,スペイン,Spain
19,イタリア,Italy
19,フランス,France
19,えいこく,England
19,イギリス,England
19,かんこく,South Korea
19,タイワン,Taiwan
19,オーストラリア,Australia
19,～ご,a suffix that attaches to the name of a country to mean the language spoken there
19,えいご,English (language)
19,ちゅうがっこう,middle school
19,しょうがっこう,elementary school
19,せんせい,teacher
19,すうがく,Mathematics
19,ちゅうごく,China
19,こくご,the national language, e.g., Japanese
19,こくばん,blackboard
20,おんなのひと,woman
20,おとこのこ,boy
20,こ,child
20,の,possessive particle
20,おんな,woman
20,おとこ,man
21,きます,to come
21,たべます,to eat
21,のみます,to drink
21,ください,please
21,いきます,to go
21,みます,to see
21,よみます,to read
23,に,location or time marker
24,うん,yeah
24,よ,new information marking particle
24,を,object marker
24,なにか,something
25,や,a conjunction used to create lists of items, with the implication that there are other similar things included but not named
25,あります,to exist (inanimate)
25,います,to exist (animate)
25,と,and, with
26,おとうさん,father
26,ちち,(my) dad
26,はは,(my) mom
26,おにいさん,older brother
26,おねえさん,older sister
26,あに,(my) older brother
26,あね,(my) older sister
26,おとうとさん,(someone else&rsquo;s) younger brother
26,いもうとさん,(someone else&rsquo;s) younger sister
26,おとうと,(my) younger brother
26,いもうと,(my) younger sister
26,～ちゃん,a suffix that attaches to the end of a name as a diminuitive version of <i>san</i>
26,おじいさん,grandfather / old man
26,おばあさん,grandmother / old woman
26,おじいちゃん,grandpa / old man
26,おばあちゃん,grandma / old woman
26,おじさん,uncle
26,おばさん,aunt
26,いとこ,cousin
26,しゅじん,(my) husband
26,ごしゅじん,(someone else&rsquo;s) husband
26,だんな,(my) husband
26,だんなさん,(someone else&rsquo;s) husband
26,つま,my wife
26,おくさん,(someone else&rsquo;s) wife
26,かれ,he/boyfriend
26,かのじょ,her/girlfriend
26,おかあさん,mother
27,しゅみ,hobby
27,きょうみ,interest
27,いなか,the countryside
27,ところ,location, place
27,やまのぼり,mountain climbing
27,ドライブ,a drive
27,ハイキング,hiking
27,さんぽ,a walk
27,けんがく,sightseeing
27,とかい,the city
27,えいが,movie
27,えいがかん,theater
27,かいもの,shopping
27,きっさてん,coffee shop
27,はくぶつかん,museum
27,びじゅつ,art
27,びじゅつかん,art museum
27,カラオケ,karaoke
27,しろ,castle
27,たんじょうび,birthday
27,パーティー,party
27,おかね,money
27,ピアノ,piano
27,トランペット,trumpet
27,スポーツ,sports
27,サッカー,soccer
27,バスケットボール,basketball
27,フットボール,american football
27,テニス,tennis
27,やきゅう,baseball
27,おんがく,music
28,～がわ,a suffix meaning &ldquo;side&rdquo;
28,うしろ,back, behind
28,ひだり,left
28,ひだりがわ,left side
28,みぎ,right
28,みぎがわ,right side
28,うえ,up, top, above, on
28,した,down, bottom, below, under
28,なか,middle, center, in
28,そと,outside
28,まえ,before, front
28,あと,after
29,します,to do
29,ききます,to hear, to ask
29,かいます,to buy
29,たちます,to stand
29,すわります,to sit
29,べんきょう,study
29,れんしゅう,practice
29,そうじ,cleaning
29,もしもし,hello? (phone greeting)
29,も,also, even
29,わかります,to understand (lit., to break down)
29,りょうり,cooking
29,はなします,to speak
29,でんわ,phone
29,かきます,to write
30,だれ,who?
30,いつ,when?
30,なぜ,why?
30,どうして,why? / how?
30,なんで,why? / how?
30,どうやって,how?
32,～まい,counter for sheets (of paper, etc.)
32,ひとつ,one thing
32,ふたつ,two things
32,みっつ,three things
32,よっつ,four things
32,いつつ,five things
32,むっつ,six things
32,ななつ,seven things
32,やっつ,eight things
32,ここのつ,nine things
32,とお,ten things
32,いくつ,how many?
32,ひとり,one person
32,ふたり,two people
32,さんにん,three people
32,よにん,four people
32,～にん,person counter
32,なんまい,how many sheets?
32,きって,postal stamp
32,～こ,counter for small, roundish things
32,いっこ,one small, roundish thing
32,ろっこ,six small, roundish things
32,はっこ,eight small, roundish things
32,じゅっこ,ten small, roundish things
32,なんこ,how many small, roundish things?
32,～ほん,counter for long, cylindrical things
32,いっぽん,one long or cylindrical object
32,さんぼん,three long or cylindrical objects
32,ろっぽん,six long or cylindrical objects
32,はっぽん,eight long or cylindrical objects
32,じゅっぽん,ten long or cylindrical objects
32,なんぼん,how many long or cylindrical objects?
32,～ひき,counter for most animals (except birds)
32,いっぴき,one animal
32,さんびき,three animals
32,ろっぴき,six animals
32,はっぴき,eight animals
32,じゅっぴき,ten animals
32,なんびき,how many animals?
32,～じ,suffix for counting the hours of the day
32,～はん,suffix to mean &ldquo;half past&rdquo;
32,～ふん,counter for minutes
32,なんじ,what time?
32,いっぷん,one minute
32,にふん,two minutes
32,さんふん,three minutes
32,よんふん,four minutes
32,ごふん,five minutes
32,ろっぷん,six minutes
32,ななふん,seven minutes
32,はっぷん,eight minutes
32,きゅうふん,nine minutes
32,じゅっぷん,ten minutes
32,ごぜん,AM
32,ごご,PM
32,から,from
32,まで,until
32,ついたち,the first of the month
32,ふつか,the second of the month
32,みっか,the third of the month
32,よっか,the fourth of the month
32,いつか,the fifth of the month
32,むいか,the sixth of the month
32,なのか,the seventh of the month
32,ようか,the eighth of the month
32,ここのか,the ninth of the month
32,とおか,the tenth of the month
32,じゅうよっか,the fourteenth of the month
32,はつか,the twentieth of the month
32,にじゅうよっか,the twentyfourth of the month
32,～にち,counter for days, days of month
32,なんにち,what day of the month?
32,～ねん,counter for years
32,なんねん,what year?
32,～さい,counter for age
32,いっさい,one year old
32,はっさい,eight years old
32,じゅっさい,ten years old
32,はたち,twenty years old
32,なんさい,how many years old?
32,おいくつ,how many years old? (polite)
32,～えん,counter for yen
32,～さつ,suffix that indicates a bill of the given denomination
32,いくら,how much money / cost?
32,なんにん,how many people?
32,～だま,suffix for a coin of such-and-such value
32,いま,now
32,かみ,paper
32,てがみ,letter, correspondence
33,でも,but...
33,しかし,however...
33,が,...but
33,けれども,...but
33,けれど,...but
33,けど,...but
34,きいろい,yellow
34,みどり,green
34,むらさき,purple
34,ちゃいろ,brown
34,オレンジいろ,orange
34,ねずみいろ,grey
34,へた,bad (unskilled)
34,へん,strange, weird
34,きれい,clean, pretty
34,かんたん,simple
34,あつい,hot
34,むしあつい,hot and humid
34,さむい,cold (air)
34,つめたい,cold to the touch
34,あたたかい,warm
34,すずしい,cool
34,ない,non-existent (functional opposite of <i>arimasu</i>)
34,じょうず,skilled, good
34,あかい,red
34,あおい,blue, green
34,しろい,white
34,くろい,black
34,いろ,color
35,たかい,tall, expensive
35,ひくい,low, short (in height)
35,やすい,cheap
35,ひろい,wide, spacious
35,せまい,narrow, cramped
35,わるい,bad
35,よい,good (ancient form)
35,みじかい,short (in length)
35,おいしい,delicious
35,まずい,bland, gross, unappetizing
35,うつくしい,beautiful
35,みにくい,ugly
35,しずか,quiet
35,うるさい,noisy
35,つよい,strong
35,よわい,weak
35,うれしい,happy
35,かなしい,sad
35,たのしい,fun
35,つまらない,boring
35,すごい,cool, awesome, incredible
35,きたない,dirty
35,むずかしい,difficult
35,やさしい,friendly
35,きびしい,stern, strict
35,はやい,fast, quick
35,おそい,slow, late
35,いっぱい,a lot, full
35,おおきい,big, large
35,ちいさい,small
35,ながい,long
36,あたま,head
36,ひたい,forehead
36,かお,face
36,はな,nose
36,くち,mouth
36,は,tooth
36,した,tongue
36,ほほ,cheek
36,くび,neck
36,かた,shoulder
36,むね,chest
36,うで,arm
36,ひじ,elbow
36,てくび,wrist
36,ゆび,finger
36,つめ,fingernail, toenail
36,ふとい,fat
36,ほそい,slender
36,ウエスト,waist
36,ひざ,knee
36,あしくび,ankle
36,け,hair
36,かみのけ,head-hair
36,せなか,back
36,せ,stature, one&rsquo;s height
36,いたい,painful
36,すてき,charming
36,びょうき,sick, sickness
36,ぐあい,condition
36,どう,how?
36,かぜ,a cold
36,ひきます,to pull, to catch (a cold)
36,インフルエンザ,the flu
36,ちょっと,a little
36,とても,very
36,ねつ,fever
36,あがります,to rise
36,せき,cough
36,げり,diarrhea
36,はなみず,runny nose, snot
36,かみます,to blow (one&rsquo;s nose)
36,びょうにん,sick person
36,びょういん,hospital
36,おいしゃ,doctor
36,かんごふ,nurse
36,くすり,medicine
36,ちゅうしゃ,shot, injection
36,うけます,to receive
36,～ど,suffix that attaches to a number to indicate a number of times
36,そして,then, after that
36,たくさん,a lot
36,さがります,to go down
36,め,eye
36,みみ,ear
36,て,hand
36,あし,foot, leg
36,でます,to go out
36,げんき,healthy, vigorous
38,しります,to come to know
38,きます,to wear (upper body)
38,わふく,Japanese clothing
38,ようふく,Western clothing
38,きもの,kimono
38,シャツ,shirt
38,ズボン,slacks / pants
38,はきます,to wear (lower body)
38,ドレス,dress
38,スーツ,suit
38,ワイシャツ,mens dress shirt
38,セーター,sweater
38,したぎ,underwear
38,パンツ,underpants
38,ブラ,bra
38,ソックス,sock
38,くつ,shoe
38,ハイヒール,high heels
38,イヤリング,earring
38,ネクタイ,necktie
38,マフラー,muffler, scarf
38,ベルト,belt
38,てぶくろ,glove
38,ぼうし,hat
38,かぶります,to wear on the head
38,はめます,to fasten around (waist, hands)
39,で,by-means-of particle, or location marker for active verbs
39,ふね,boat
39,しんかんせん,bullet train
39,ロサンゼルス,Los Angeles
39,シカゴ,Chicago
39,シアトル,Seattle
39,ロンドン,London
39,～しゅう,suffix for the names of states
39,あるきます,to walk
39,およぎます,to swim
39,とびます,to fly
39,うんてん します,to drive
39,ひこうき,airplane
39,はしります,to run
40,しごと,work (the concept)
40,しごとば,work (the place)
40,アルバイト,part-time job
40,こうじょう,factory
40,じむしょ,office
40,かいしゃ,company
40,きゅうりょう,wages, pay
40,はたらきます,to work
40,きょうじゅ,professor
40,べんごし,lawyer
40,サラリーマン,office worker
40,ひしょ,secretary
40,てんいん,shopkeeper
40,ソフト,software
40,プログラマー,programmer
40,ぶちょう,department head
40,じゅうぎょういん,employee
40,どうりょう,colleague
40,へんしゅう,editing
40,～ぶ,suffix for departments
40,ぶもん,department
40,かちょう,section head
40,まちます,to await (something), to wait
40,かいけい,the total, the bill
40,しゃちょう,president (of a company)
43,ほんとう,real
43,たしか,certain
43,ぜったい,definite
43,じつ,true, actual
43,じっさい,actual
44,ひょう,hail
44,ふります,to fall (rain, etc.)
44,はれます,to clear up
44,くもります,to cloud up
44,あらし,storm
44,つなみ,tsunami
44,たつまき,tornado
44,じしん,earthquake
44,おそいます,to attack
44,ゆき,snow
44,たいふう,typhoon
